period,uf,filename,source_url,accessed_at,last_modified,etag,remote_size_bytes,local_relative_path,local_size_bytes,sha256,status,error_class
202412,MG,pda-024-icb-MG-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-MG-2024_12.zip,2026-08-24T12:00:00.934800+00:00,"Wed, 05 Aug 2026 13:08:15 GMT","""3159d2a-6584c76e78482""",51748138,202412/pda-024-icb-MG-2024_12.zip,51748138,67850fe3019419d1949ace99babdcc28af5281e8b58a2c2f97764a0faf9b2bc4,complete,
202412,MS,pda-024-icb-MS-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-MS-2024_12.zip,2026-08-24T12:01:08.354640+00:00,"Wed, 05 Aug 2026 13:09:35 GMT","""490e77-6584c7ba69af2""",4787831,202412/pda-024-icb-MS-2024_12.zip,4787831,4141d017cd9e024035a7b02cec8df958a1714b7bf6fb15966f8833d5a814b2bb,complete,
202412,MT,pda-024-icb-MT-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-MT-2024_12.zip,2026-08-24T12:01:21.191267+00:00,"Wed, 05 Aug 2026 13:08:18 GMT","""5b5fb2-6584c7709165e""",5988274,202412/pda-024-icb-MT-2024_12.zip,5988274,25dab36d275d2885a43f2e1df9011862ecc0dacc9a626c46299b6a7b20910a83,complete,
202412,PA,pda-024-icb-PA-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-PA-2024_12.zip,2026-08-24T12:01:45.222932+00:00,"Wed, 05 Aug 2026 13:08:19 GMT","""5892e2-6584c7720d879""",5804770,202412/pda-024-icb-PA-2024_12.zip,5804770,9b273e4c6dd91e0e81c661365236ca9d892b5633ac59c1b9c2bcb7b2aecb7592,complete,
202412,PB,pda-024-icb-PB-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-PB-2024_12.zip,2026-08-24T12:02:23.231687+00:00,"Wed, 05 Aug 2026 13:09:36 GMT","""418933-6584c7bb690ef""",4294963,202412/pda-024-icb-PB-2024_12.zip,4294963,583c6f744d70eb6b369616d5ffa73cc1c4f437071fc6f04d3d338f16970276d0,complete,
202412,PE,pda-024-icb-PE-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-PE-2024_12.zip,2026-08-24T12:02:59.123836+00:00,"Wed, 05 Aug 2026 13:08:22 GMT","""b7ab0f-6584c774e8fbe""",12036879,202412/pda-024-icb-PE-2024_12.zip,12036879,ef6e423e2118f07c0c3956f21ac492dc223a805b588ce8d2ee9d47010221c4c5,complete,
202412,PI,pda-024-icb-PI-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-PI-2024_12.zip,2026-08-24T12:03:24.003958+00:00,"Wed, 05 Aug 2026 13:09:37 GMT","""2a7710-6584c7bc22da1""",2782992,202412/pda-024-icb-PI-2024_12.zip,2782992,dcb0a192d8676c3fff53af9a74974ec63a1936c0f06de4ef6ebe27a26a2b59a3,complete,
202412,PR,pda-024-icb-PR-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-PR-2024_12.zip,2026-08-24T12:04:06.692413+00:00,"Wed, 05 Aug 2026 13:08:29 GMT","""1a0405e-6584c77b358d7""",27279454,202412/pda-024-icb-PR-2024_12.zip,27279454,2bd9e64c60870f92a971ceb8013cf06842a686242ce8fdb7dd31c7962b12210c,complete,
202412,RJ,pda-024-icb-RJ-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-RJ-2024_12.zip,2026-08-24T12:05:34.140920+00:00,"Wed, 05 Aug 2026 13:08:36 GMT","""1d7a8eb-6584c782679dd""",30910699,202412/pda-024-icb-RJ-2024_12.zip,30910699,abbd7af4b77ce0b4bc8f74e218bf5b5b70b17e11bd0d03a4b9c931e4895562a8,complete,
202412,RN,pda-024-icb-RN-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-RN-2024_12.zip,2026-08-24T12:06:36.088836+00:00,"Wed, 05 Aug 2026 13:09:38 GMT","""4ff172-6584c7bd6d6c1""",5239154,202412/pda-024-icb-RN-2024_12.zip,5239154,7dab6df871b387d28127484bac8344ece3f29d55f21481e23a223cb07c12998a,complete,
