source_dataset,threshold_minutes,scenario,n_removed,removed_service_municipio,newly_uncovered_complete_case,newly_uncovered_upper_bound,adult_population_complete_case,adult_population_missing_anchor,adult_population_covered,adult_population_uncovered,adult_population_uncovered_upper_bound,n_complete_case_municipality_year,n_missing_anchor_municipality_year,newly_uncovered_complete_case_display,newly_uncovered_upper_bound_display,source_artifact,source_sha256
targeted_structural_stress_test,120,sequential_top_B_in_strength,78,330240,177324209.0,177324209.0,801096930.0,3973.0,443840246.0,357256684.0,357260657.0,27850,1,177324209,177324209,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,79,352530,179156674.0,179156674.0,801096930.0,3973.0,442007781.0,359089149.0,359093122.0,27850,1,179156674,179156674,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,80,410430,181067618.0,181067618.0,801096930.0,3973.0,440096837.0,361000093.0,361004066.0,27850,1,181067618,181067618,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,81,352690,181343364.0,181343364.0,801096930.0,3973.0,439821091.0,361275839.0,361279812.0,27850,1,181343364,181343364,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,82,430460,184835607.0,184835607.0,801096930.0,3973.0,436328848.0,364768082.0,364772055.0,27850,1,184835607,184835607,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,83,110020,186797588.0,186797588.0,801096930.0,3973.0,434366867.0,366730063.0,366734036.0,27850,1,186797588,186797588,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,84,330490,187279155.0,187279155.0,801096930.0,3973.0,433885300.0,367211630.0,367215603.0,27850,1,187279155,187279155,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,85,230730,189720443.0,189720443.0,801096930.0,3973.0,431444012.0,369652918.0,369656891.0,27850,1,189720443,189720443,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,86,270430,194666254.0,194666254.0,801096930.0,3973.0,426498201.0,374598729.0,374602702.0,27850,1,194666254,194666254,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,87,261390,195582531.0,195582531.0,801096930.0,3973.0,425581924.0,375515006.0,375518979.0,27850,1,195582531,195582531,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
