source_dataset,cohort,year,res_municipio,observed_treatment,self_sufficiency,n_destinations,destination_hhi,destination_diversity_entropy,main_destination,main_destination_share,cross_municipality_share,cross_state_share,adult_population,potential_coverage_120,potential_coverage_180,ivs,n_aih_display,source_artifact,source_sha256
suppressed_service_area,A,2023,130360,False,NA,0,NA,NA,NA,NA,NA,NA,8225.0,False,False,0.616,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130370,False,NA,0,NA,NA,NA,NA,NA,NA,16591.0,False,False,0.745,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130380,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,32045.0,False,False,0.492,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130390,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,18996.0,False,False,0.693,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130395,False,NA,0,NA,NA,NA,NA,NA,NA,7692.0,False,False,0.572,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130400,False,NA,0,NA,NA,NA,NA,NA,NA,7432.0,False,False,0.598,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130406,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,41952.0,False,False,0.577,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130410,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,12758.0,False,False,0.707,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130420,False,NA,0,NA,NA,NA,NA,NA,NA,48100.0,False,False,0.484,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130423,False,NA,0,NA,NA,NA,NA,NA,NA,11259.0,False,False,0.644,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130426,False,NA,0,NA,NA,NA,NA,NA,NA,8913.0,False,False,0.627,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130430,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,12924.0,False,False,0.527,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130440,False,NA,0,NA,NA,NA,NA,NA,NA,16945.0,False,False,0.583,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140002,False,NA,0,NA,NA,NA,NA,NA,NA,8102.0,False,False,0.628,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140005,False,NA,0,NA,NA,NA,NA,NA,NA,12369.0,False,False,0.587,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140010,True,0.0,1,1.0,-0.0,355030.0,1.0,1.0,1.0,314374.0,False,False,0.261,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140015,False,NA,0,NA,NA,NA,NA,NA,NA,8530.0,False,False,0.674,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140017,False,NA,0,NA,NA,NA,NA,NA,NA,12577.0,False,False,0.521,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140020,False,NA,0,NA,NA,NA,NA,NA,NA,14276.0,False,False,0.457,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140023,False,NA,0,NA,NA,NA,NA,NA,NA,7447.0,False,False,0.502,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140028,False,NA,0,NA,NA,NA,NA,NA,NA,6840.0,False,False,0.535,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140030,False,NA,0,NA,NA,NA,NA,NA,NA,12543.0,False,False,0.45,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140040,False,NA,0,NA,NA,NA,NA,NA,NA,7452.0,False,False,0.685,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140045,False,NA,0,NA,NA,NA,NA,NA,NA,11838.0,False,False,0.487,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140047,False,NA,0,NA,NA,NA,NA,NA,NA,23767.0,False,False,0.437,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140050,False,NA,0,NA,NA,NA,NA,NA,NA,6350.0,False,False,0.357,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,140060,False,NA,0,NA,NA,NA,NA,NA,NA,5310.0,False,False,0.39,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
